method,endpoint,resource,admin,chunhiem,phuta,phuhuynh,publicAccess,tenant,object,evidence,note
"GET","/api/academic-years/:id/completeness","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:23","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/academic-years/:id/start-semester-2","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:35","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/academic-years/:id/finalize","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:47","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/academic-years/:id/copy","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:69","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/academic-years/:id/promote","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:86","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/academic-years/:id/promotion-reconciliation","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:105","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/academic-years/:id/promotion-retry","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:116","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/academic-years/:id/archive","academicYears","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/academicYears.ts:127","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/system/purge","system","ADMIN_REAUTH_ACK_PURGE_TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ADMIN_REAUTH_ACK_PURGE_TENANT","server/src/routes/system.ts:28","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/system/purge-version","system","TENANT","TENANT","TENANT","TENANT","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/system.ts:66","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/parents/my-children","parents","DENY_ROLE","DENY_ROLE","DENY_ROLE","CURRENT_PHONE_CHILDREN","DENY","JWT parishId; no cross-tenant authority","CURRENT_PHONE_CHILDREN","server/src/routes/parents.ts:22","Tenant+current user phone; active student; legacy KBA not authority"
"POST","/api/parents/telegram/link-token","parents","DENY_ROLE","DENY_ROLE","DENY_ROLE","AUTHENTICATED_410_RETIRED","DENY","JWT parishId; no cross-tenant authority","NO_WRITE_CHANNEL_RETIRED","server/src/routes/parents.ts:27","ADR-111 compatibility tombstone; parent gets 410 CHANNEL_RETIRED; no token or audit write"
"GET","/api/parents/telegram/status","parents","DENY_ROLE","DENY_ROLE","DENY_ROLE","AUTHENTICATED_410_RETIRED","DENY","JWT parishId; no cross-tenant authority","NO_READ_CHANNEL_RETIRED","server/src/routes/parents.ts:28","ADR-111 compatibility tombstone; parent gets 410 CHANNEL_RETIRED; no link data returned"
"POST","/api/parents/telegram/notifications","parents","DENY_ROLE","DENY_ROLE","DENY_ROLE","AUTHENTICATED_410_RETIRED","DENY","JWT parishId; no cross-tenant authority","NO_WRITE_CHANNEL_RETIRED","server/src/routes/parents.ts:29","ADR-111 compatibility tombstone; parent gets 410 CHANNEL_RETIRED; no preference or audit write"
"DELETE","/api/parents/telegram/link","parents","DENY_ROLE","DENY_ROLE","DENY_ROLE","AUTHENTICATED_410_RETIRED","DENY","JWT parishId; no cross-tenant authority","NO_WRITE_CHANNEL_RETIRED","server/src/routes/parents.ts:30","ADR-111 compatibility tombstone; parent gets 410 CHANNEL_RETIRED; migration/startup owns revocation"
"POST","/api/exams","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:269","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"GET","/api/exams/class/:classId","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:293","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"GET","/api/exams/my-classes","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:312","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"POST","/api/exams/:id/results","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:320","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"GET","/api/exams/:id/results","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:337","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"DELETE","/api/exams/:id/results/:studentId","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:351","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"POST","/api/exams/:id/complete","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:368","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"DELETE","/api/exams/:id","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:387","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"POST","/api/exams/:id/reopen","exams","TENANT_OBJECT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:403","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"GET","/api/exams/:id","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:418","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"PATCH","/api/exams/:id/answer-key","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:440","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"PATCH","/api/exams/:id/answer-variants","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:487","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"POST","/api/exams/:id/variant-manifests","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:517","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"POST","/api/exams/barcode/decode","exams","TENANT_OBJECT","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","DENY","JWT parishId; no cross-tenant authority","SESSION_CLASS_AND_STUDENT_MEMBERSHIP","server/src/routes/exams.ts:547","Admin tenant-wide; GLV assigned; completed/manifest/lock restrictions; auth-only alternate handlers rely on assignment (H3/H4)"
"POST","/api/leave-requests","leaveRequests","TENANT_OBJECT","STAFF_CLASS_OR_PARENT_CHILD","STAFF_CLASS_OR_PARENT_CHILD","CURRENT_PHONE_CHILD","DENY","JWT parishId; no cross-tenant authority","STAFF_CLASS_OR_PARENT_CHILD","server/src/routes/leaveRequests.ts:34","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/leave-requests","leaveRequests","TENANT_OBJECT","STAFF_CLASS_OR_PARENT_CHILD","STAFF_CLASS_OR_PARENT_CHILD","CURRENT_PHONE_CHILD","DENY","JWT parishId; no cross-tenant authority","STAFF_CLASS_OR_PARENT_CHILD","server/src/routes/leaveRequests.ts:140","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/leave-requests/pending-count","leaveRequests","TENANT_OBJECT","REQUEST_SNAPSHOT_CLASS","REQUEST_SNAPSHOT_CLASS","CONSTANT_ZERO","DENY","JWT parishId; no cross-tenant authority","REQUEST_SNAPSHOT_CLASS","server/src/routes/leaveRequests.ts:220","Parent receives zero rather than access to staff pending data"
"PATCH","/api/leave-requests/:id/review","leaveRequests","TENANT_OBJECT","REQUEST_SNAPSHOT_CLASS","REQUEST_SNAPSHOT_CLASS","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","REQUEST_SNAPSHOT_CLASS","server/src/routes/leaveRequests.ts:247","D2: snapshot class used; attendance writes omit semester lock/current student check"
"DELETE","/api/leave-requests/:id","leaveRequests","TENANT_OBJECT","SNAPSHOT_CLASS_OR_PARENT_CREATOR","SNAPSHOT_CLASS_OR_PARENT_CREATOR","PARENT_CREATOR_PENDING","DENY","JWT parishId; no cross-tenant authority","SNAPSHOT_CLASS_OR_PARENT_CREATOR","server/src/routes/leaveRequests.ts:418","PENDING CAS; parentId ownership (not current child phone); old class authorization D2"
"GET","/api/finances/summary","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:84","Router admin-only; transaction validates references and student-class membership"
"GET","/api/finances/funds","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:95","Router admin-only; transaction validates references and student-class membership"
"POST","/api/finances/funds","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:105","Router admin-only; transaction validates references and student-class membership"
"GET","/api/finances/transactions","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:126","Router admin-only; transaction validates references and student-class membership"
"POST","/api/finances/transactions","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:149","Router admin-only; transaction validates references and student-class membership"
"DELETE","/api/finances/transactions/:id","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:184","Router admin-only; transaction validates references and student-class membership"
"GET","/api/finances/classes/:classId/fees","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:202","Router admin-only; transaction validates references and student-class membership"
"POST","/api/finances/classes/:classId/fees","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:216","Router admin-only; transaction validates references and student-class membership"
"POST","/api/finances/classes/:classId/fees/batch","finances","TENANT_FUND_CLASS_STUDENT_RELATION","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_FUND_CLASS_STUDENT_RELATION","server/src/routes/finances.ts:243","Router admin-only; transaction validates references and student-class membership"
"GET","/api/parish-events","parishEvents","TENANT_SHARED_EVENT","TENANT_SHARED_EVENT","TENANT_SHARED_EVENT","TENANT_SHARED_EVENT","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_EVENT","server/src/routes/parishEvents.ts:41","Admin/CN mutation; no creator ownership restriction"
"POST","/api/parish-events","parishEvents","TENANT_SHARED_EVENT","TENANT_SHARED_EVENT","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_EVENT","server/src/routes/parishEvents.ts:59","Admin/CN mutation; no creator ownership restriction"
"PUT","/api/parish-events/:id","parishEvents","TENANT_SHARED_EVENT","TENANT_SHARED_EVENT","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_EVENT","server/src/routes/parishEvents.ts:109","Admin/CN mutation; no creator ownership restriction"
"DELETE","/api/parish-events/:id","parishEvents","TENANT_SHARED_EVENT","TENANT_SHARED_EVENT","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_EVENT","server/src/routes/parishEvents.ts:154","Admin/CN mutation; no creator ownership restriction"
"GET","/api/parish-profile","parishProfile","TENANT_STAFF_VISIBILITY","TENANT_STAFF_VISIBILITY","TENANT_STAFF_VISIBILITY","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_STAFF_VISIBILITY","server/src/routes/parishProfile.ts:167","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"PUT","/api/parish-profile/profile","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:176","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/people","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:181","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/people/import","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:185","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"PUT","/api/parish-profile/people/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:189","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"DELETE","/api/parish-profile/people/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:193","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/units","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:198","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"PUT","/api/parish-profile/units/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:202","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"DELETE","/api/parish-profile/units/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:206","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/terms","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:211","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"PUT","/api/parish-profile/terms/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:215","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"DELETE","/api/parish-profile/terms/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:219","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/records","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:224","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"PUT","/api/parish-profile/records/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:228","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"DELETE","/api/parish-profile/records/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:232","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/assets/external","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:237","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"POST","/api/parish-profile/assets/upload","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:242","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"PUT","/api/parish-profile/assets/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:295","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"DELETE","/api/parish-profile/assets/:id","parishProfile","TENANT_REFERENCES","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_REFERENCES","server/src/routes/parishProfile.ts:299","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"GET","/api/parish-profile/assets/:id/download","parishProfile","TENANT_STAFF_VISIBILITY","TENANT_STAFF_VISIBILITY","TENANT_STAFF_VISIBILITY","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_STAFF_VISIBILITY","server/src/routes/parishProfile.ts:304","Nonadmin STAFF visibility; published records; download rechecks tenant+visibility; D4 profile suffix"
"GET","/api/feedback/targets","feedback","DENY_ROLE","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","DENY","JWT parishId; no cross-tenant authority","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","server/src/routes/feedback.ts:34","Anonymous no sender persisted; parent targets resolved from current children; no admin send role"
"GET","/api/feedback/inbox","feedback","TENANT_ADMIN_OR_ADDRESSED_CN","TENANT_ADMIN_OR_ADDRESSED_CN","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_ADMIN_OR_ADDRESSED_CN","server/src/routes/feedback.ts:39","Anonymous no sender persisted; parent targets resolved from current children; no admin send role"
"GET","/api/feedback/sent","feedback","DENY_ROLE","SELF_PUBLIC_SUBMISSIONS","SELF_PUBLIC_SUBMISSIONS","SELF_PUBLIC_SUBMISSIONS","DENY","JWT parishId; no cross-tenant authority","SELF_PUBLIC_SUBMISSIONS","server/src/routes/feedback.ts:48","Anonymous no sender persisted; parent targets resolved from current children; no admin send role"
"POST","/api/feedback","feedback","DENY_ROLE","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","DENY","JWT parishId; no cross-tenant authority","TENANT_BOARD_OR_CHILD_HOMEROOM_CN","server/src/routes/feedback.ts:55","Anonymous no sender persisted; parent targets resolved from current children; no admin send role"
"PATCH","/api/feedback/:id/status","feedback","TENANT_ADMIN_OR_ADDRESSED_CN","TENANT_ADMIN_OR_ADDRESSED_CN","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_ADMIN_OR_ADDRESSED_CN","server/src/routes/feedback.ts:70","Anonymous no sender persisted; parent targets resolved from current children; no admin send role"
"POST","/api/password-reset-requests","passwordResetRequests","NO_ACCOUNT_DISCLOSURE","DENY_ROLE","DENY_ROLE","DENY_ROLE","GENERIC_202","Request parish; generic acknowledgement","NO_ACCOUNT_DISCLOSURE","server/src/routes/passwordResetRequests.ts:41","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/password-reset-requests/admin","passwordResetRequests","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/passwordResetRequests.ts:53","Exact /admin and /admin/* gates; ticket+target tenant; atomic pending claim"
"POST","/api/password-reset-requests/admin/:id/reset","passwordResetRequests","TENANT+ADMIN_REAUTH","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT+ADMIN_REAUTH","server/src/routes/passwordResetRequests.ts:58","Exact /admin and /admin/* gates; ticket+target tenant; atomic pending claim"
"PATCH","/api/password-reset-requests/admin/:id/dismiss","passwordResetRequests","TENANT","DENY_ROLE","DENY_ROLE","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/passwordResetRequests.ts:83","Exact /admin and /admin/* gates; ticket+target tenant; atomic pending claim"
"GET","/api/sync/watermark","sync","TENANT","TENANT","TENANT","TENANT","DENY","JWT parishId; no cross-tenant authority","TENANT","server/src/routes/sync.ts:10","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/question-bank/questions","questionBank","TENANT_SHARED_BANK","TENANT_SHARED_BANK","TENANT_SHARED_BANK","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_BANK","server/src/routes/questionBank.ts:77","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/question-bank/questions","questionBank","TENANT_SHARED_BANK","TENANT_SHARED_BANK","TENANT_SHARED_BANK","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_BANK","server/src/routes/questionBank.ts:96","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/question-bank/questions/import","questionBank","TENANT_SHARED_BANK","TENANT_SHARED_BANK","TENANT_SHARED_BANK","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_BANK","server/src/routes/questionBank.ts:103","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"GET","/api/question-bank/questions/:id","questionBank","TENANT_SHARED_BANK","TENANT_SHARED_BANK","TENANT_SHARED_BANK","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","TENANT_SHARED_BANK","server/src/routes/questionBank.ts:116","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"PUT","/api/question-bank/questions/:id","questionBank","ADMIN_OR_OWN_DRAFT","ADMIN_OR_OWN_DRAFT","ADMIN_OR_OWN_DRAFT","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","ADMIN_OR_OWN_DRAFT","server/src/routes/questionBank.ts:123","Static route/service reconstruction; no per-endpoint runtime completeness claim"
"POST","/api/question-bank/questions/:id/lifecycle","questionBank","OWNER_SUBMIT_ADMIN_REVIEW","OWNER_SUBMIT_ADMIN_REVIEW","OWNER_SUBMIT_ADMIN_REVIEW","DENY_ROLE","DENY","JWT parishId; no cross-tenant authority","OWNER_SUBMIT_ADMIN_REVIEW","server/src/routes/questionBank.ts:130","submit own draft; reject/approve/activate/archive admin only"
